iter	Passed	Remaining
587	10812	7576
588	10855	7575
589	10881	7561
590	10898	7542
591	10913	7521
592	10928	7500
593	10944	7480
594	10975	7470
595	11002	7458
596	11025	7442
597	11061	7435
598	11076	7415
599	11098	7399
600	11124	7385
601	11170	7385
602	11185	7364
603	11207	7347
604	11239	7338
605	11273	7329
606	11309	7322
607	11341	7312
608	11361	7294
609	11391	7283
610	11421	7271
611	11450	7259
612	11475	7244
613	11516	7239
614	11544	7227
615	11574	7214
616	11599	7200
617	11625	7185
618	11650	7171
619	11677	7157
620	11708	7145
621	11732	7130
622	11751	7111
623	11771	7093
624	11793	7076
625	11821	7062
626	11842	7045
627	11865	7028
628	11897	7017
629	11922	7002
630	11939	6982
631	11961	6965
632	11990	6951
633	12015	6936
634	12033	6917
635	12055	6899
636	12076	6881
637	12098	6864
638	12117	6845
639	12136	6826
640	12169	6815
641	12205	6806
642	12244	6798
643	12283	6790
644	12313	6777
645	12332	6757
646	12360	6744
647	12385	6727
648	12411	6712
649	12436	6696
650	12461	6680
651	12484	6663
652	12522	6654
653	12553	6641
654	12581	6626
655	12609	6612
656	12639	6598
657	12662	6581
658	12687	6564
659	12710	6547
660	12736	6532
661	12761	6515
662	12798	6505
663	12832	6493
664	12863	6479
665	12897	6467
666	12935	6458
667	12964	6443
668	12990	6427
669	13011	6408
670	13028	6388
671	13052	6370
672	13074	6352
673	13093	6333
674	13112	6313
675	13144	6299
676	13175	6286
677	13212	6275
678	13261	6269
679	13291	6254
680	13312	6235
681	13334	6217
682	13368	6204
683	13400	6190
684	13432	6177
685	13452	6157
686	13479	6141
687	13514	6128
688	13535	6109
689	13569	6096
690	13596	6079
691	13619	6061
692	13645	6044
693	13663	6024
694	13691	6008
695	13724	5994
696	13754	5979
697	13778	5961
698	13800	5942
699	13827	5926
700	13852	5908
701	13881	5892
702	13903	5874
703	13929	5856
704	13962	5842
705	13986	5824
706	14010	5806
707	14033	5788
708	14062	5771
709	14081	5751
710	14107	5734
711	14131	5716
712	14157	5698
713	14180	5679
714	14220	5668
715	14254	5654
716	14281	5636
717	14312	5621
718	14349	5607
719	14380	5592
720	14409	5575
721	14437	5559
722	14481	5548
723	14546	5545
724	14576	5529
725	14598	5509
726	14619	5489
727	14642	5470
728	14672	5454
729	14697	5436
730	14724	5418
731	14748	5399
732	14782	5384
733	14811	5367
734	14827	5346
735	14847	5325
736	14867	5305
737	14885	5284
738	14911	5266
739	14936	5247
740	14971	5232
741	15003	5216
742	15032	5199
743	15055	5180
744	15076	5160
745	15103	5142
746	15126	5123
747	15146	5102
748	15169	5083
749	15192	5064
750	15214	5044
751	15239	5025
752	15278	5011
753	15322	4999
754	15349	4981
755	15387	4966
756	15420	4949
757	15456	4934
758	15499	4921
759	15538	4907
760	15572	4890
761	15601	4872
762	15622	4852
763	15645	4833
764	15668	4813
765	15692	4793
766	15716	4774
767	15745	4756
768	15776	4739
769	15809	4722
770	15840	4704
771	15867	4686
772	15892	4666
773	15926	4650
774	15954	4631
775	15989	4615
776	16020	4598
777	16040	4577
778	16061	4556
779	16092	4538
